m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
9,9,2,Mosek,0.06429172679781914,5,false,true,45,"(5.605264714483571e-5, -Inf)",45,"(Inf, 3.6675870325388015e-11)",19,"(0.007792959225362765, 9.878450095806813e-11)"
9,9,2,Mosek,0.09462957829236984,5,true,true,9,"(28.57840923669508, 9.488570251227131e-10)",9,"(0.44263165600112747, 3.533129379526886e-11)",9,"(28.578409234438155, 1.676970146222389e-10)"
9,9,2,Mosek,0.07815108075737953,5,false,true,45,"(0.00012115555613755532, -Inf)",45,"(Inf, 2.0385745327846064e-18)",19,"(0.3328309325092131, 1.4382036287955887e-10)"
9,9,2,Mosek,0.05950235202908516,5,false,true,45,"(3.3425684822137575e-5, -Inf)",45,"(Inf, 4.697648487537972e-10)",19,"(0.006576818654612056, 3.879431618609931e-10)"
9,9,2,Mosek,0.1009164098650217,5,true,true,9,"(23.873100431689018, 6.453586215570236e-10)",9,"(0.29707042534970135, 1.6271671658925036e-11)",9,"(23.87310042653023, 3.581177818840629e-11)"
9,9,2,Mosek,0.30629027262330055,5,true,true,9,"(30.123677777997155, 1.614690164478773e-7)",9,"(0.0011778103708457626, 9.096078303472849e-12)",9,"(30.123677809376904, 7.937511981219415e-8)"
9,9,2,Mosek,0.07768050581216812,5,false,true,45,"(8.965404067487354e-5, -Inf)",45,"(Inf, 1.0747213888328865e-11)",19,"(0.04766620973193155, 2.9323854608853066e-11)"
9,9,2,Mosek,0.06598713621497154,5,false,true,45,"(1.2428857283858186e-5, -Inf)",45,"(Inf, 4.073369584657614e-12)",19,"(0.008460678887588835, 1.1935784032796769e-10)"
9,9,2,Mosek,0.1086344588547945,5,true,true,9,"(27.434446443164934, 1.2360261982000942e-9)",9,"(0.11611568917056043, 1.1006507934328486e-11)",9,"(27.43444644492667, 6.259294206473128e-10)"
9,9,2,Mosek,0.1303198728710413,5,true,true,9,"(27.006888496569378, 5.844506367061143e-10)",9,"(0.017352069195093796, 1.2667469432366396e-12)",9,"(27.006888465349334, 5.9358878726797325e-8)"
9,9,2,Mosek,0.08874857798218727,5,false,true,45,"(9.239502219209507e-6, -Inf)",45,"(Inf, 5.651499687639426e-23)",19,"(0.07818366059356224, 3.7104449498269064e-8)"
9,9,2,Mosek,0.13190260343253613,5,false,true,44,"(0.0007160800072822998, 3.762262280587827e-7)",44,"(7.309572654693566e-6, 9.170467073010357e-10)",19,"(0.19786090476692714, 1.4340611126635566e-10)"
9,9,2,Mosek,0.15424940176308155,5,true,true,9,"(36.74411083172326, 1.3555402876895914e-9)",9,"(0.2618951485718754, 2.5121561109717265e-11)",9,"(36.74411082974936, 1.6046297139309773e-10)"
9,9,2,Mosek,0.14651896804571152,5,true,true,9,"(28.914758579341793, 4.573061723096307e-11)",9,"(0.5466819101228575, 1.9715574792046094e-12)",9,"(28.914758590186757, 1.1735658598207443e-10)"
9,9,2,Mosek,0.13702922128140926,5,true,true,9,"(31.28460987613979, 9.274371839007514e-9)",9,"(0.016376726454427656, 1.5052481830488088e-11)",9,"(31.284609873429368, 2.1879081200139373e-8)"
9,9,2,Mosek,0.09477089531719685,5,false,false,34,"(5.111057892506568e-6, 4.958534815373025e-6)",45,"(Inf, 2.2043651753733407e-11)",18,"(0.007383319246660648, 1.8447302713817228e-9)"
9,9,2,Mosek,0.10889807529747486,5,true,true,9,"(24.079364959136225, 2.658033692121322e-10)",9,"(0.31317740891871076, 6.355803240011869e-12)",9,"(24.07936495916746, 1.307525659060997e-11)"
9,9,2,Mosek,0.0714691337198019,5,false,true,45,"(0.0003954212179317274, -Inf)",45,"(Inf, 1.3301127924643774e-11)",19,"(0.11693680271592738, 3.776677978796449e-10)"
9,9,2,Mosek,0.10023695789277554,5,true,true,9,"(30.043260711745894, 4.5117359049525e-11)",9,"(0.7672656587382506, 7.093848502022283e-13)",9,"(30.0432607081252, 5.04399064273331e-9)"
9,9,2,Mosek,0.09631366841495037,5,false,true,45,"(1.7915518314444547e-5, -Inf)",45,"(Inf, 3.3286799913956333e-18)",18,"(0.08621963834043649, 6.272317406490231e-10)"
