m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
14,12,2,Mosek,0.40509141609072685,5,false,false,73,"(5.391446899522054e-6, 4.890339199179706e-6)",78,"(Inf, 2.5366177543593278e-8)",30,"(0.00011222974812147297, 7.353555506452068e-10)"
14,12,2,Mosek,0.39058325067162514,5,false,false,73,"(6.696641444157151e-6, 4.57916747895416e-6)",78,"(Inf, 2.379254780271027e-9)",31,"(0.00013376966341699387, 2.5287559859900856e-8)"
14,12,2,Mosek,0.36326756700873375,5,false,true,78,"(5.302316509910252e-6, -Inf)",78,"(Inf, 5.7001181010923424e-11)",30,"(0.0001445949640620527, 5.6075376304727865e-9)"
14,12,2,Mosek,0.4199832770973444,5,false,false,65,"(5.186931215199371e-6, 4.699729711873821e-6)",78,"(Inf, 2.187113677917904e-10)",30,"(0.00014538007598505686, 1.0136711764731856e-11)"
14,12,2,Mosek,0.41723048500716686,5,false,false,75,"(5.057163961761367e-6, 4.598879254337736e-6)",78,"(Inf, 4.096813984048772e-14)",30,"(0.00021978138183580131, 8.373224643515392e-13)"
14,12,2,Mosek,0.4014738369733095,5,false,false,77,"(5.476831081115212e-6, 2.879655793729854e-6)",78,"(Inf, 1.4481340772733115e-10)",31,"(4.748067664893872e-5, 1.1619944896247977e-12)"
14,12,2,Mosek,0.4036821760237217,5,false,false,62,"(5.150986256906422e-6, 4.795102691522118e-6)",78,"(Inf, 2.292372023213313e-6)",30,"(6.528129588772175e-5, 5.5922599156967475e-12)"
14,12,2,Mosek,0.44638378359377384,5,false,false,77,"(5.253734210380924e-6, 2.568443009933142e-6)",78,"(Inf, 3.47758751901705e-12)",31,"(0.0001782011399035511, 4.277529199131653e-11)"
14,12,2,Mosek,0.36285698041319847,5,false,false,77,"(8.749552529832168e-6, 1.5752323244086755e-6)",78,"(Inf, 5.872311267676472e-11)",31,"(0.00018129945630476944, 3.426693116301396e-11)"
14,12,2,Mosek,0.4425928648561239,5,false,false,38,"(5.597617418424122e-6, 4.801516825279955e-6)",78,"(Inf, 8.88517389862705e-9)",30,"(3.841241463769229e-5, 3.49094457306262e-10)"
14,12,2,Mosek,0.367056293413043,5,false,false,58,"(5.309645055620375e-6, 4.686302187726519e-6)",78,"(Inf, 3.5924815476448123e-6)",30,"(0.00014520618239257825, 5.1398680401127065e-11)"
14,12,2,Mosek,0.3856419790536165,5,false,false,73,"(5.2723809525405765e-6, 4.933658209063823e-6)",78,"(Inf, 5.067717337360703e-10)",30,"(0.00016513453899806712, 3.713815000541127e-14)"
14,12,2,Mosek,0.37747043184936047,5,false,false,69,"(5.07497191456175e-6, 4.5071451129758994e-6)",78,"(Inf, 5.0646111810765496e-12)",31,"(0.00012250421265104419, 3.0658359593620155e-10)"
14,12,2,Mosek,0.39302273839712143,5,false,false,63,"(5.207253288922653e-6, 4.861163380524269e-6)",78,"(Inf, 6.550430206690869e-9)",30,"(2.562403668628975e-5, 5.6199483932037096e-12)"
14,12,2,Mosek,0.3916919846087694,5,false,false,66,"(5.267682828070528e-6, 4.830685779123827e-6)",78,"(Inf, 1.729507817160036e-8)",29,"(0.00014978244645896853, 7.489561664262654e-12)"
14,12,2,Mosek,0.39560128189623356,5,false,false,73,"(6.084821954142881e-6, 4.461196489396673e-6)",78,"(Inf, 1.2173022472949559e-11)",31,"(0.00017506775989086748, 7.510709005847408e-9)"
14,12,2,Mosek,0.32265312410891056,5,false,false,77,"(7.011634478095074e-6, 2.5655723358745723e-6)",78,"(Inf, 1.3885358543788147e-6)",31,"(1.2935275059462592e-5, 7.312746426738964e-11)"
14,12,2,Mosek,0.3635758329182863,5,false,false,72,"(5.336134028362994e-6, 4.936332663324586e-6)",78,"(Inf, 5.035311785888287e-11)",31,"(9.396033514412747e-5, 4.935770110446666e-11)"
14,12,2,Mosek,0.35459511168301105,5,false,false,71,"(5.217508219877055e-6, 4.538761633950532e-6)",78,"(Inf, 1.3268380762521594e-7)",29,"(6.901104742459196e-5, 1.2968172655293488e-9)"
14,12,2,Mosek,0.35310847125947475,5,false,false,74,"(5.204399380403964e-6, 4.41430879185387e-6)",77,"(6.362971318935411e-6, 1.184116519388232e-6)",31,"(3.1825428861878655e-5, 1.8362397974748564e-9)"
