m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
9,3,2,Mosek,0.0007816478610038757,5,false,true,6,"(1.0285339596780336, -Inf)",6,"(Inf, 1.0863404904347651e-11)",4,"(5.488903165314065, 9.954489030602067e-11)"
9,3,2,Mosek,0.0010496117174625397,5,false,true,6,"(1.6916350714623787, -Inf)",6,"(Inf, 2.731627260853844e-14)",4,"(2.6570802663829594, 4.6822448077338354e-11)"
9,3,2,Mosek,0.0008054152131080627,5,false,true,6,"(2.076029428026238, -Inf)",6,"(Inf, 1.2726217805665144e-16)",4,"(6.034571190999376, 2.3922698991955255e-11)"
9,3,2,Mosek,0.0007660221308469772,5,false,true,6,"(4.010377159840477, -Inf)",6,"(Inf, 7.840731079005223e-19)",4,"(5.63827380026155, 1.482415504483984e-10)"
9,3,2,Mosek,0.0007694046944379807,5,false,true,6,"(0.4871278404507518, -Inf)",6,"(Inf, 2.397478549216391e-9)",3,"(5.8925228967288055, 1.012580216165725e-11)"
9,3,2,Mosek,0.0007745325565338135,5,false,true,6,"(2.655975404357167, -Inf)",6,"(Inf, 3.0864679620018483e-13)",4,"(7.8209397400169065, 1.3794436817594613e-10)"
9,3,2,Mosek,0.0007710587233304977,5,false,true,6,"(1.2371124567675393, -Inf)",6,"(Inf, 2.4617265609765747e-13)",4,"(0.9955960510768453, 4.94351546645008e-12)"
9,3,2,Mosek,0.0006573181599378586,5,false,true,6,"(1.3323040788453804, -Inf)",6,"(Inf, 1.3089082755615329e-17)",4,"(4.564327835135068, 1.1333948103399834e-10)"
9,3,2,Mosek,0.0008301492780447006,5,false,true,6,"(1.3955693191626581, -Inf)",6,"(Inf, 9.78814435561354e-12)",3,"(9.321839204358744, 2.8844833355439628e-11)"
9,3,2,Mosek,0.0005837343633174896,5,false,true,6,"(0.8723270639291884, -Inf)",6,"(Inf, 7.605971538922123e-11)",4,"(1.5952629381589727, 1.6319285237841238e-10)"
9,3,2,Mosek,0.0006230287253856659,5,false,true,6,"(2.061862780727613, -Inf)",6,"(Inf, 3.3424631617122097e-15)",4,"(3.7998000949082846, 3.0458180526007605e-10)"
9,3,2,Mosek,0.0006046369671821594,5,false,true,6,"(3.9076036487391668, -Inf)",6,"(Inf, 7.337181594591268e-19)",3,"(15.254061770769779, 6.11364865201463e-11)"
9,3,2,Mosek,0.0015909504145383835,5,false,true,6,"(2.4720280787648825, -Inf)",6,"(Inf, 3.44360040473184e-18)",4,"(5.803184518351652, 4.6310179832435484e-11)"
9,3,2,Mosek,0.0011428315192461014,5,false,true,6,"(2.3067172760033143, -Inf)",6,"(Inf, 5.486664966799426e-13)",4,"(2.116690508018278, 5.0639985389385506e-11)"
9,3,2,Mosek,0.0008053071796894073,5,false,true,6,"(1.0825523631142346, -Inf)",6,"(Inf, 5.857144229723516e-12)",4,"(2.770650909755734, 3.2512799398374565e-10)"
9,3,2,Mosek,0.0007703676819801331,5,false,true,6,"(1.3621735938120825, -Inf)",6,"(Inf, 3.563854283647924e-15)",4,"(4.704278530164695, 4.4643904636327626e-11)"
9,3,2,Mosek,0.0006742831319570541,5,false,true,6,"(1.2252150264415516, -Inf)",6,"(Inf, 3.573900135724053e-12)",4,"(4.602598897612029, 5.710071515462758e-11)"
9,3,2,Mosek,0.0006498061120510101,5,false,true,6,"(1.379439103778848, -Inf)",6,"(Inf, 2.5101005558151396e-15)",4,"(1.0376574497823947, 4.572672284766629e-11)"
9,3,2,Mosek,0.0005832184106111526,5,false,true,6,"(1.1198999456571836, -Inf)",6,"(Inf, 1.6539655628280916e-14)",4,"(1.8538179241351072, 2.616007695524709e-10)"
9,3,2,Mosek,0.0006703678518533707,5,false,true,6,"(1.3902140545215345, -Inf)",6,"(Inf, 1.5129659669074932e-16)",3,"(10.345301892522787, 1.8522859520403732e-11)"
