m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
10,10,2,Mosek,0.10561180114746094,5,true,true,10,"(0.04686012558916446, 9.194435967701784e-10)",10,"(0.0034297410289095046, 8.095786344391887e-11)",10,"(0.04686012590453397, 4.775269649846998e-10)"
10,10,2,Mosek,0.12909993156790733,5,true,true,10,"(0.06517179778765245, 1.9151220000152232e-7)",10,"(7.900234077201793e-5, 3.226560007219147e-10)",10,"(0.06517189467008118, 1.6483358131026891e-10)"
10,10,2,Mosek,0.09456399828195572,5,false,false,48,"(5.028482577975537e-6, 4.38129661743745e-6)",54,"(1.6806489191844484e-5, 4.233909085437234e-6)",23,"(0.00014086087327199349, 2.15458996160035e-12)"
10,10,2,Mosek,0.1242707297205925,5,true,true,10,"(0.07839002176078037, 7.23997209913746e-11)",10,"(0.005721313479124441, 6.3409712750635605e-12)",10,"(0.07839002178367932, 2.994818263846644e-11)"
10,10,2,Mosek,0.15232675336301327,5,true,true,10,"(0.09068240457841324, 8.600835947875266e-10)",10,"(0.004782284534366247, 4.079242597507809e-11)",10,"(0.09068240476279799, 4.417536284167018e-12)"
10,10,2,Mosek,0.1284070499241352,5,true,true,10,"(0.07056903788044765, 2.0322707282494288e-9)",10,"(0.001506456078907683, 1.0382870558158684e-10)",10,"(0.07056903984934493, 6.30201580229016e-13)"
10,10,2,Mosek,0.13705215975642204,5,true,true,10,"(0.0652637201864546, 8.339412000918992e-10)",10,"(0.0034508123140628614, 3.375273684021583e-11)",10,"(0.06526372036396846, 9.118777172433174e-13)"
10,10,2,Mosek,0.15455664694309235,5,true,true,10,"(0.0580651387561974, 2.8956494832608027e-11)",10,"(0.0026261307234582546, 3.916256348519677e-12)",10,"(0.05806513874893656, 8.123577871529687e-11)"
10,10,2,Mosek,0.15294689685106277,5,true,true,10,"(0.06151802304698316, 1.0230722069799272e-9)",10,"(0.0019348968514936614, 6.302991407069318e-11)",10,"(0.061518023198005804, 9.649320988611112e-10)"
10,10,2,Mosek,0.12281908094882965,5,true,true,10,"(0.041585259808898635, 2.2351264584416e-9)",10,"(0.0017042421233656243, 1.0879884668025913e-10)",10,"(0.04158526060414658, 1.919379316412063e-11)"
10,10,2,Mosek,0.11229172348976135,5,true,true,10,"(0.04307796249155585, 1.4691164384634597e-8)",10,"(0.0011821901824536204, 6.614083134397176e-10)",10,"(0.04307797278698073, 2.722637881311582e-10)"
10,10,2,Mosek,0.1302273329347372,5,false,false,37,"(5.204204452827476e-6, 4.989655791173824e-6)",55,"(Inf, 5.3363544419310905e-15)",22,"(5.753023366637925e-5, 2.1353790685205283e-11)"
10,10,2,Mosek,0.1269640401005745,5,true,true,10,"(0.0534493544973069, 8.451077770862245e-10)",10,"(0.004505888449242682, 1.503286938610492e-10)",10,"(0.053449354806061077, 5.2339460133949475e-11)"
10,10,2,Mosek,0.16366289742290974,5,true,true,10,"(0.07449768168772795, 5.877605684640103e-10)",10,"(0.0013268405508524536, 1.2996185571001488e-11)",10,"(0.07449768191599106, 1.9402107081573254e-10)"
10,10,2,Mosek,0.13404708355665207,5,true,true,10,"(0.04475974088088022, 4.6093745862363864e-10)",10,"(0.0014647285298080392, 3.246869636125394e-11)",10,"(0.044759741139416644, 1.9068872312811995e-13)"
10,10,2,Mosek,0.13211428001523018,5,true,true,10,"(0.07927099226633444, 7.3817080428826096e-9)",10,"(0.002071943363262493, 6.593521453168173e-10)",10,"(0.07927099502657, 9.961122403262565e-11)"
10,10,2,Mosek,0.0990103967487812,5,true,true,10,"(0.07600203322061927, 2.21279072949803e-9)",10,"(0.004077217287987012, 8.16926494904411e-11)",10,"(0.07600203433785149, 3.3990145110828395e-11)"
10,10,2,Mosek,0.09476841986179352,5,true,true,10,"(0.03587746531368361, 4.441741232016747e-9)",10,"(0.0055031671217058015, 8.486545319652812e-10)",10,"(0.035877466322989555, 2.5213644468462106e-12)"
10,10,2,Mosek,0.15989471226930618,5,true,true,10,"(0.06308224880272036, 7.858203306492863e-10)",10,"(0.003685773100238795, 3.821547397214791e-11)",10,"(0.06308224906940614, 1.399308445784616e-10)"
10,10,2,Mosek,0.12170068733394146,5,true,true,10,"(0.07596137727727718, 5.979940087273631e-10)",10,"(0.008541168388514923, 7.870334096139377e-11)",10,"(0.07596137768827461, 3.621633409255583e-12)"
