m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
12,11,2,Mosek,0.2225654348731041,5,false,true,66,"(0.00014020708071239163, -Inf)",66,"(Inf, 4.717119136360947e-9)",26,"(0.03568036132080504, 8.609787702494925e-9)"
12,11,2,Mosek,0.4192662928253412,5,true,true,12,"(51.15516020661627, 2.9505008500586765e-8)",12,"(0.193877117202812, 1.1555340345375175e-10)",12,"(51.155160240573665, 3.263182381615435e-9)"
12,11,2,Mosek,0.23243190720677376,5,false,true,66,"(0.0002035423325885152, -Inf)",66,"(Inf, 6.21357359918916e-8)",26,"(0.008526222296218841, 5.790431580868184e-9)"
12,11,2,Mosek,0.24077331461012363,5,false,true,66,"(0.0002116149353382422, -Inf)",66,"(Inf, 8.735985144375511e-18)",25,"(0.1001290783630698, 2.8669690667285618e-9)"
12,11,2,Mosek,0.4537849463522434,5,true,true,12,"(50.449297489817965, 3.527924499193199e-10)",12,"(0.4647844352843606, 1.1990286358230917e-11)",12,"(50.4492975939834, 4.1700586831086766e-9)"
12,11,2,Mosek,0.4435584098100662,5,true,true,12,"(40.904613797025355, 3.6260281349801206e-10)",12,"(0.10863145184002052, 7.060746213701239e-12)",12,"(40.90461379692326, 4.648194748395886e-10)"
12,11,2,Mosek,0.21685878932476044,5,false,true,66,"(0.0001371275417043054, -Inf)",66,"(Inf, 2.233073832798811e-9)",26,"(0.04977274199074844, 2.835356032031951e-9)"
12,11,2,Mosek,0.2594103943556547,5,false,true,66,"(0.00023419751189492899, -Inf)",66,"(Inf, 1.205459304030053e-14)",27,"(0.04935776109411876, 3.277233644380173e-9)"
12,11,2,Mosek,0.20743172243237495,5,false,true,66,"(0.0010102296145116508, -Inf)",66,"(Inf, 3.453711180319459e-11)",25,"(0.3546733524640098, 4.657968044580437e-12)"
12,11,2,Mosek,0.4119509067386389,5,true,true,12,"(50.39856043594195, 3.397381023463562e-9)",12,"(0.21780716379758402, 2.0959733644349966e-11)",12,"(50.3985605626083, 2.181902812392547e-9)"
12,11,2,Mosek,0.22708206437528133,5,false,true,66,"(0.00016492385825448477, -Inf)",66,"(Inf, 2.6423426885788514e-13)",25,"(0.1750798769158397, 2.7848459006752134e-10)"
12,11,2,Mosek,0.4447608608752489,5,true,true,12,"(45.918239383198824, 2.6110054467096185e-9)",12,"(0.1344275299528535, 1.2607886384048378e-11)",12,"(45.91823933807799, 7.856539888955091e-8)"
12,11,2,Mosek,0.33298289962112904,5,true,true,12,"(36.59892736504754, 2.810854395931409e-10)",12,"(0.7119544430726579, 9.88254321541719e-12)",12,"(36.59892759049223, 4.5183190930160444e-10)"
12,11,2,Mosek,0.4871043413877487,5,true,true,12,"(53.93784659543753, 1.688126185892322e-9)",12,"(0.12194617425628283, 3.6505387858768325e-11)",12,"(53.93784662169376, 4.747286707670003e-10)"
12,11,2,Mosek,0.2387024573981762,5,false,true,66,"(0.0002802393229206132, -Inf)",66,"(Inf, 5.861014822265624e-11)",27,"(0.014604238356250495, 5.316402801095999e-10)"
12,11,2,Mosek,0.2945004776120186,5,false,true,66,"(0.0001606234486186705, -Inf)",66,"(Inf, 2.053654761713027e-17)",26,"(0.12159414556181485, 7.601338163542409e-11)"
12,11,2,Mosek,0.38546125777065754,5,true,true,12,"(38.16586690500672, 2.7995627333043906e-10)",12,"(0.765628586289598, 8.604102157592343e-12)",12,"(38.16586690450965, 2.580212452911029e-11)"
12,11,2,Mosek,0.21348854154348373,5,false,true,66,"(0.00031158632256318377, -Inf)",66,"(Inf, 5.937227457402793e-13)",26,"(0.076344803352858, 3.095228234994462e-11)"
12,11,2,Mosek,0.2438816037029028,5,false,true,66,"(3.339097260393062e-5, -Inf)",66,"(Inf, 5.336638073197245e-18)",26,"(0.009219984554755851, 1.5486683537140315e-9)"
12,11,2,Mosek,0.27660470083355904,5,false,true,66,"(3.997059737327467e-5, -Inf)",66,"(Inf, 1.0935784302113004e-17)",26,"(0.05679056708199065, 9.570723684613548e-10)"
