m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
19,15,2,Mosek,7.1055650897324085,5,true,true,19,"(91.18518451780805, 1.1201962417990314e-10)",19,"(1.1799995413091742, 2.0310616836869092e-12)",19,"(91.18518451221723, 5.895971062633995e-9)"
19,15,2,Mosek,3.4584506172686815,5,true,true,19,"(93.73748690604103, 7.565474142684908e-8)",19,"(2.2069166251607077, 2.7751901954722216e-9)",19,"(93.73748701910607, 1.4229844027582762e-8)"
19,15,2,Mosek,5.742369884625077,5,true,true,19,"(82.6840240990151, 1.340433603768719e-9)",19,"(1.0834326072767906, 2.691169804205547e-11)",19,"(82.68402410354199, 4.651900560959549e-11)"
19,15,2,Mosek,7.439008425921202,5,true,true,19,"(83.71921046094508, 3.3068977121804756e-9)",19,"(0.26570378159422986, 1.999965951462782e-11)",19,"(83.71921043236988, 4.124416198015826e-8)"
19,15,2,Mosek,5.5610533859580755,5,true,true,19,"(95.9189478207802, 2.9683451204692675e-8)",19,"(0.9405661412451698, 9.4683438613059e-10)",19,"(95.9189478472298, 1.3294052844278735e-10)"
19,15,2,Mosek,5.783810840919614,5,true,true,19,"(86.75760952465532, 4.363893437923417e-10)",19,"(0.718193322687013, 5.6402680491905495e-12)",19,"(86.75760951565934, 5.014117835010646e-9)"
19,15,2,Mosek,6.621988635510206,5,true,true,19,"(86.73412478882679, 6.929547272703635e-10)",19,"(0.41544188924052566, 2.596005016608421e-12)",19,"(86.73412478635413, 3.6407109758235146e-10)"
19,15,2,Mosek,2.940413624048233,5,false,true,120,"(0.00013783004796816324, -Inf)",120,"(Inf, 1.5281957589925315e-9)",45,"(0.014438411427038689, 3.324955731911234e-9)"
19,15,2,Mosek,5.9595268331468105,5,true,true,19,"(85.26240370509493, 8.106250129335172e-10)",19,"(0.8187495823859922, 1.2746805888897707e-11)",19,"(85.26240369539165, 4.2715227477247354e-11)"
19,15,2,Mosek,5.923634238541126,5,true,true,19,"(75.89950407908707, 5.96718504842356e-8)",19,"(0.14549322334424253, 8.852130857226353e-10)",19,"(75.8995040676393, 7.442011037239666e-8)"
19,15,2,Mosek,3.4488260187208652,5,false,true,120,"(3.697224527946336e-5, -Inf)",120,"(Inf, 2.1228199503057054e-10)",45,"(0.08493072175948921, 4.175389297534815e-9)"
19,15,2,Mosek,4.942001776769757,5,true,true,19,"(80.56049499480186, 7.155738272245467e-10)",19,"(1.0384994508565433, 7.411486737970327e-12)",19,"(80.56049499616006, 7.949228191834712e-11)"
19,15,2,Mosek,6.239756807684898,5,true,true,19,"(94.34535144406958, 3.8308165433221537e-8)",19,"(0.041579731833597165, 4.8496478774370303e-11)",19,"(94.34535151744386, 4.797514898856513e-8)"
19,15,2,Mosek,7.995542900636792,5,true,true,19,"(94.22026810173709, 1.5502845406267712e-9)",19,"(1.77101064451552, 1.2900381957425454e-10)",19,"(94.22026811584554, 5.82045170591106e-10)"
19,15,2,Mosek,2.780404105782509,5,false,true,120,"(0.0004547125411654022, -Inf)",120,"(Inf, 8.141019953913867e-9)",44,"(0.11270430600010553, 2.2612023191314228e-10)"
19,15,2,Mosek,5.49070636369288,5,true,true,19,"(91.00287179002171, 1.4575305571444046e-8)",19,"(0.21140737084359457, 1.0941465819658047e-10)",19,"(91.0028718145672, 9.644064238085072e-10)"
19,15,2,Mosek,2.9675338473170996,5,false,true,120,"(6.294390496689765e-5, -Inf)",120,"(Inf, 1.8683263275770698e-12)",45,"(0.027434325629890028, 1.5870094209397275e-10)"
19,15,2,Mosek,3.4707222394645214,5,false,true,120,"(0.0008358669803391717, -Inf)",120,"(Inf, 7.494056665723294e-9)",45,"(0.06525816197692733, 2.758459240573036e-9)"
19,15,2,Mosek,4.977379420772195,5,true,true,19,"(80.44653360501803, 9.18372568439985e-9)",19,"(3.1751961581838173, 1.0177171189346332e-9)",19,"(80.44653362662132, 1.5433271534337477e-10)"
19,15,2,Mosek,3.397990006953478,5,false,true,120,"(2.1576442978098567e-5, -Inf)",120,"(Inf, 1.525514058753365e-10)",45,"(0.020549624057859685, 5.8231232313433704e-9)"
