m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
9,10,2,Mosek,0.17301507107913494,5,true,true,9,"(0.04530585512439231, 3.2447839360753293e-9)",9,"(0.006396748017886856, 2.972640112606569e-10)",9,"(0.04530585724544094, 1.1600860078025653e-11)"
9,10,2,Mosek,0.19994841143488884,5,true,true,9,"(0.07807182782581684, 1.0832298476195915e-10)",9,"(0.012149664937903915, 1.1776342422740418e-11)",9,"(0.07807182789239428, 3.458743265682365e-12)"
9,10,2,Mosek,0.1383668016642332,5,true,true,9,"(0.07865368250158476, 1.1920717341901612e-9)",9,"(0.01626680964893902, 1.7142035565091485e-10)",9,"(0.07865368321218914, 3.414653348019107e-11)"
9,10,2,Mosek,0.1478166040033102,5,true,true,9,"(0.09001367623463602, 2.220886066271333e-9)",9,"(0.012744781134757889, 2.1627598851369282e-10)",9,"(0.09001367692819218, 1.910672348264154e-11)"
9,10,2,Mosek,0.20639759488403797,5,true,true,9,"(0.10522963355450407, 1.143067397154104e-9)",9,"(0.012661794651130095, 6.481103568616928e-11)",9,"(0.10522963421328069, 2.110586687174248e-11)"
9,10,2,Mosek,0.19246803410351276,5,true,true,9,"(0.09789118109311962, 3.2904385816341007e-10)",9,"(0.008160197599465407, 2.316418074303382e-11)",9,"(0.0978911813030676, 1.9822018165425233e-12)"
9,10,2,Mosek,0.1496112123131752,5,true,true,9,"(0.07863240314499857, 1.8822350546319823e-9)",9,"(0.010357096480656912, 3.5833565497742294e-10)",9,"(0.07863240454481893, 8.316850051606708e-13)"
9,10,2,Mosek,0.19209331646561623,5,true,true,9,"(0.07358169925092523, 1.4717282533100701e-10)",9,"(0.0108583691397727, 1.5097150386674403e-11)",9,"(0.07358169934036406, 7.339662361706998e-12)"
9,10,2,Mosek,0.16160460002720356,5,true,true,9,"(0.05129639032674427, 1.3035466719098736e-9)",9,"(0.0059614931322038885, 3.1343465863322874e-10)",9,"(0.05129639095134212, 7.934199443003752e-13)"
9,10,2,Mosek,0.3339740615338087,5,true,true,9,"(0.06471168826798092, 2.4508089385080817e-9)",9,"(0.006072547161320107, 3.9513292312818195e-10)",9,"(0.0647116892044177, 8.590104135399368e-13)"
9,10,2,Mosek,0.1934396829456091,5,true,true,9,"(0.0615844401285284, 1.7075817424088188e-10)",9,"(0.010692348076873052, 3.847680130739109e-11)",9,"(0.0615844401310922, 1.4064605717602746e-10)"
9,10,2,Mosek,0.19569701328873634,5,true,true,9,"(0.07250496975015927, 7.662272691022341e-10)",9,"(0.008109505672592415, 5.365627008323469e-11)",9,"(0.07250497014683388, 2.644508553363736e-12)"
9,10,2,Mosek,0.3140676002949476,5,true,true,9,"(0.06884972923270076, 3.617497944054892e-10)",9,"(0.009066569446965071, 5.087382241666084e-11)",9,"(0.0688497296621761, 1.1300344387616226e-12)"
9,10,2,Mosek,0.16650640964508057,5,true,true,9,"(0.06838999665817272, 1.545278105449506e-9)",9,"(0.006276517049607553, 3.4266051391409937e-10)",9,"(0.06838999767261292, 2.2742066569865063e-12)"
9,10,2,Mosek,0.1914474181830883,5,true,true,9,"(0.06941866364189063, 1.62809672181267e-10)",9,"(0.009041132239670069, 2.1438147247717632e-11)",9,"(0.06941866380882265, 4.4174840506052806e-13)"
9,10,2,Mosek,0.3131617810577154,5,true,true,9,"(0.06738412157512408, 3.0177882617965753e-10)",9,"(0.01075179793199398, 5.82087306844806e-11)",9,"(0.06738412172341722, 2.1916764376536198e-11)"
9,10,2,Mosek,0.3136016372591257,5,true,true,9,"(0.046839967863515145, 1.4761343649110548e-9)",9,"(0.009696878198489264, 1.4585536829379932e-10)",9,"(0.04683996890462659, 2.227017579014612e-11)"
9,10,2,Mosek,0.2001370508223772,5,true,true,9,"(0.06974503343624802, 2.603876762420734e-9)",9,"(0.015492484108809414, 5.538175625264219e-10)",9,"(0.06974503474315759, 6.682749101390911e-12)"
9,10,2,Mosek,0.3024860452860594,5,true,true,9,"(0.07375330367160478, 5.65113345845816e-10)",9,"(0.009098768891411424, 8.894437627123673e-11)",9,"(0.07375330398129233, 1.3895808353590775e-12)"
9,10,2,Mosek,0.2842534836381674,5,true,true,9,"(0.049410449684391726, 3.9791590005722657e-10)",9,"(0.012810979286711403, 3.6692359932417984e-11)",9,"(0.04941044988625664, 1.6149722826232067e-12)"
