n,p_pointed,p_unique_sos
2,1.0,1.0
3,0.15,0.15
4,0.2,0.2
5,0.5,0.5
6,0.8,0.8
7,0.9,0.9
8,0.95,0.95
9,1.0,1.0
10,1.0,1.0
11,1.0,1.0
12,1.0,1.0
13,1.0,1.0
14,1.0,1.0
15,1.0,1.0
16,1.0,1.0
17,1.0,1.0
